GO_terms	Class	Description
GO:0100064	BP	obsolete negative regulation of filamentous growth of a population of unicellular organisms in response to starvation by transcription from RNA polymerase II promoter
GO:0100065	BP	obsolete negative regulation of leucine import by transcription from RNA polymerase II promoter
GO:0100066	BP	obsolete negative regulation of induction of conjugation with cellular fusion by transcription from RNA polymerase II promoter
GO:0100067	BP	positive regulation of spinal cord association neuron differentiation by canonical Wnt signaling pathway
GO:0100068	BP	obsolete positive regulation of pyrimidine-containing compound salvage by transcription from RNA polymerase II promoter
GO:0100069	BP	obsolete negative regulation of neuron apoptotic process by transcription from RNA polymerase II promoter
GO:0100070	BP	obsolete obsolete regulation of fatty acid biosynthetic process by transcription from RNA polymerase II promoter
GO:0101007	BP	obsolete negative regulation of transcription from RNA polymerase II promoter in response to salt stress
GO:0101008	BP	obsolete negative regulation of transcription from RNA polymerase II promoter in response to increased salt
GO:0101010	BP	pulmonary blood vessel remodeling
GO:0101020	MF	estrogen 16-alpha-hydroxylase activity
GO:0101021	MF	estrogen 2-hydroxylase activity
GO:0101023	BP	vascular endothelial cell proliferation
GO:0101027	BP	optical nerve axon regeneration
GO:0101028	BP	obsolete positive regulation of liquid surface tension
GO:0102196	MF	cortisol dehydrogenase activity
GO:0102347	MF	obsolete trans-arachidon-2-enoyl-CoA reductase activity
GO:0102348	MF	obsolete trans-docosan-2-enoyl-CoA reductase activity
GO:0102349	MF	obsolete trans-lignocero-2-enoyl-CoA reductase activity
GO:0102350	MF	obsolete trans-cerot-2-enoyl-CoA reductase activity
GO:0102407	MF	obsolete sn-2-glycerol-3-phosphate C22:0-DCA-CoA acyl transferase activity
GO:0102408	MF	obsolete sn-2-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity
GO:0102409	MF	obsolete sn-2-glycerol-3-phosphate C16:0-CoA acyl transferase activity
GO:0102419	MF	obsolete sn-2-glycerol-3-phosphate omega-OH-C22:0-CoA acyl transferase activity
GO:0102616	MF	obsolete oryzalexin A synthase activity
GO:0102617	MF	obsolete oryzalexin C synthase (oryzalexin B dependent) activity
GO:0102618	MF	obsolete oryzalexin B synthase activity
GO:0102619	MF	obsolete oryzalexin C synthase (oryzalexin A dependent) activity
GO:0102756	MF	obsolete very-long-chain 3-ketoacyl-CoA synthase activity
GO:0102997	MF	progesterone 5beta- reductase activity
GO:0103032	MF	obsolete tartronate semialdehyde reductase activity
GO:0103048	MF	obsolete tRNA m2A37 methyltransferase activity
GO:0104005	MF	obsolete hijacked molecular function
GO:0106001	BP	intestinal hexose absorption
GO:0106027	BP	neuron projection organization
GO:0106028	BP	neuron projection retraction
GO:0106030	BP	neuron projection fasciculation
GO:0106033	CC	spine synapse
GO:0106038	BP	obsolete vesicle assembly
GO:0106039	BP	obsolete vesicle fusion involved in vesicle assembly
GO:0106092	BP	glial cell projection elongation involved in axon ensheathment
GO:0106134	BP	positive regulation of cardiac muscle cell contraction
GO:0106135	BP	negative regulation of cardiac muscle cell contraction
GO:0106136	BP	lectin-induced modified bacterial internalization
GO:0106159	BP	obsolete regulation of small RNA loading onto RISC
GO:0106161	BP	obsolete positive regulation of small RNA loading onto RISC
GO:0106178	MF	obsolete translocase activity
GO:0106179	MF	obsolete translocase activity acting on inorganic cations and their chelates
GO:0106180	MF	obsolete translocase activty of hydrons
GO:0106181	MF	obsolete translocase activity acting on inorganic anions
GO:0106182	MF	obsolete translocase activity acting on amino acids and peptides.
GO:0106183	MF	obsolete translocase activity acting on carbohydrates and their derivatives.
GO:0106184	MF	obsolete translocation activity acting on other compounds
GO:0106187	MF	obsolete translocase activity acting on hydrons linked to oxidoreductase reactions
GO:0106188	MF	obsolete translocase activity acting on hydrons linked the hydrolysis of a nucleoside triphosphate
GO:0106189	MF	obsolete translocase activity acting on hydrons linked to the hydrolysis of a diphosphate
GO:0106190	MF	obsolete translocase activity acting on hydrons linked to a decarboxylation reaction
GO:0106191	MF	obsolete translocase activity acting on inogranic cations linked to oxidoreductase reactions
GO:0106192	MF	obsolete translocase activity acting on inorganic cations and their chelates linked to the hydrolysis of a nucleoside triphosphate
GO:0106193	MF	obsolete translocase activity acting on inorganic cations and their chelates linked to the hydrolysis of a diphosphate
GO:0106194	MF	obsolete translocase activity acting on inorganic cations and their chelates linked to a decarboxylation reaction
GO:0106195	MF	obsolete translocase activty acting on inorganic anions linked to oxidoreductase reactions
GO:0106196	MF	obsolete translocase activity acting on inorganic anions linked to the hydrolysis of a nucleoside triphosphate
GO:0106197	MF	obsolete translocase activity acting on inorganic anions linked to the hydrolysis of a diphosphate
GO:0106198	MF	obsolete translocase activity acting on inorganic anions linked to a decarboxylation reaction
GO:0106199	MF	obsolete translocase activity acting on amino acids and peptides linked to oxidoreductase reactions
GO:0106200	MF	obsolete translocase activity acting on amio acids and peptides linked to the hydrolysis of a nucleoside triphosphate
GO:0106201	MF	obsolete translocase activity acting on amino acids and peptides linked to the hydrolysis of a diphosphate
GO:0106202	MF	obsolete translocase activity acting on amino acids and peptides linked to a decarboxylation reaction
GO:0106309	MF	progesterone 21-hydroxylase activity
GO:0106360	MF	obsolete 2-hydroxy-3-methylhexadecanoyl-CoA lyase activity
GO:0106399	MF	obsolete acyl-coenzyme A diphosphatase activity
GO:0106434	BP	retinal isomerization
GO:0110021	BP	cardiac muscle myoblast proliferation
GO:0110022	BP	regulation of cardiac muscle myoblast proliferation
GO:0110023	BP	negative regulation of cardiac muscle myoblast proliferation
GO:0110024	BP	positive regulation of cardiac muscle myoblast proliferation
GO:0110037	BP	regulation of nematode male tail tip morphogenesis
GO:0110038	BP	negative regulation of nematode male tail tip morphogenesis
GO:0110039	BP	positive regulation of nematode male tail tip morphogenesis
GO:0110040	BP	nematode pharynx morphogenesis
GO:0110041	BP	regulation of nematode pharynx morphogenesis
GO:0110042	BP	negative regulation of nematode pharynx morphogenesis
GO:0110043	BP	positive regulation of nematode pharynx morphogenesis
GO:0110057	BP	regulation of blood vessel endothelial cell differentiation
GO:0110058	BP	positive regulation of blood vessel endothelial cell differentiation
GO:0110059	BP	negative regulation of blood vessel endothelial cell differentiation
GO:0110079	BP	regulation of placenta blood vessel development
GO:0110080	BP	positive regulation of placenta blood vessel development
GO:0110081	BP	negative regulation of placenta blood vessel development
GO:0110087	BP	obsolete suppression by virus of host protease activator activity
GO:0110088	BP	hippocampal neuron apoptotic process
GO:0110089	BP	regulation of hippocampal neuron apoptotic process
GO:0110090	BP	positive regulation of hippocampal neuron apoptotic process
GO:0110091	BP	negative regulation of hippocampal neuron apoptotic process
GO:0110107	BP	regulation of imaginal disc-derived wing vein specification
GO:0110108	BP	positive regulation of imaginal disc-derived wing vein specification
GO:0110109	BP	negative regulation of imaginal disc-derived wing vein specification
GO:0110110	BP	positive regulation of animal organ morphogenesis
GO:0110111	BP	negative regulation of animal organ morphogenesis
GO:0110132	BP	obsolete regulation of CRISPR-cas system
GO:0110144	CC	obsolete magnetosome part
GO:0110149	BP	obsolete regulation of biomineralization
GO:0110151	BP	obsolete positive regulation of biomineralization
GO:0120006	BP	regulation of glutamatergic neuron differentiation
GO:0120007	BP	negative regulation of glutamatergic neuron differentiation
GO:0120008	BP	positive regulation of glutamatergic neuron differentiation
GO:0120022	MF	glucagon binding
GO:0120024	MF	glucagon family peptide binding
GO:0120038	CC	obsolete plasma membrane bounded cell projection part
GO:0120054	BP	intestinal motility
GO:0120055	BP	small intestinal transit
GO:0120056	BP	large intestinal transit
GO:0120057	BP	regulation of small intestinal transit
GO:0120058	BP	positive regulation of small intestinal transit
GO:0120059	BP	negative regulation of small intestinal transit
GO:0120060	BP	regulation of gastric emptying
GO:0120061	BP	negative regulation of gastric emptying
GO:0120062	BP	positive regulation of gastric emptying
GO:0120063	BP	stomach smooth muscle contraction
GO:0120064	BP	stomach pylorus smooth muscle contraction
GO:0120065	BP	pyloric antrum smooth muscle contraction
GO:0120066	BP	pyloric canal smooth muscle contraction
GO:0120067	BP	pyloric sphincter smooth muscle contraction
GO:0120068	BP	regulation of stomach fundus smooth muscle contraction
GO:0120069	BP	positive regulation of stomach fundus smooth muscle contraction
GO:0120070	BP	negative regulation of stomach fundus smooth muscle contraction
GO:0120071	BP	regulation of pyloric antrum smooth muscle contraction
GO:0120072	BP	positive regulation of pyloric antrum smooth muscle contraction
GO:0120073	BP	negative regulation of pyloric antrum smooth muscle contraction
GO:0120079	BP	obsolete regulation of microfilament motor activity
GO:0120081	BP	obsolete positive regulation of microfilament motor activity
GO:0120084	BP	endothelial tip cell filopodium assembly
GO:0120085	BP	obsolete transposon integration involved in RNA-mediated transposition
GO:0120100	CC	bacterial-type flagellum motor
GO:0120101	CC	bacterial-type flagellum stator complex
GO:0120102	CC	bacterial-type flagellum secretion apparatus
GO:0120107	CC	bacterial-type flagellum rotor complex
GO:0120111	CC	neuron projection cytoplasm
GO:0120116	BP	glucagon processing
GO:0120117	BP	T cell meandering migration
GO:0120122	BP	prolactin metabolic process
GO:0120132	BP	positive regulation of apoptotic process in bone marrow cell
GO:0120172	BP	obsolete positive regulation of actin filament bundle convergence involved in mitotic contractile ring assembly
GO:0120173	BP	obsolete regulation of actin filament bundle convergence involved in mitotic contractile ring assembly
GO:0120188	BP	regulation of bile acid secretion
GO:0120189	BP	positive regulation of bile acid secretion
GO:0120190	BP	negative regulation of bile acid secretion
GO:0120212	CC	sperm head-tail coupling apparatus
GO:0120238	CC	sperm glycocalyx
GO:0120239	CC	vascular endothelial glycocalyx
GO:0120240	CC	platelet glycocalyx
GO:0120274	MF	virus coreceptor activity
GO:0120275	BP	cerebral blood circulation
GO:0120276	BP	regulation of cerebral blood circulation
GO:0120277	BP	positive regulation of cerebral blood circulation
GO:0120278	BP	negative regulation of cerebral blood circulation
GO:0120287	BP	obsolete regulation of aspartic endopeptidase activity, intramembrane cleaving 
GO:0120288	BP	obsolete negative regulation of aspartic endopeptidase activity, intramembrane cleaving 
GO:0120289	BP	obsolete positive regulation of aspartic endopeptidase activity, intramembrane cleaving 
GO:0120313	BP	regulation of oocyte karyosome formation
GO:0120314	BP	negative regulation of oocyte karyosome formation
GO:0120315	BP	positive regulation of oocyte karyosome formation
GO:0120316	BP	sperm flagellum assembly
GO:0120317	BP	sperm mitochondrial sheath assembly
GO:0120318	BP	olfactory sociosexual communication
GO:0120322	BP	lipid modification by small protein conjugation
GO:0120331	BP	endothelial tube formation
GO:0140058	BP	neuron projection arborization
GO:0140060	BP	axon arborization
GO:0140074	BP	cardiac endothelial to mesenchymal transition
GO:0140131	BP	positive regulation of lymphocyte chemotaxis
GO:0140192	BP	regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process
GO:0140193	BP	regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process
GO:0140194	BP	negative regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process
GO:0140195	BP	positive regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process
GO:0140196	BP	positive regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process
GO:0140199	BP	negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process
GO:0140200	BP	adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate
GO:0140231	BP	anterograde axonal transport of neurotransmitter receptor complex
GO:0140237	BP	translation at presynapse, modulating chemical synaptic transmission 
